part,date,No,No_O,unique_id,kabbalah,year,day,week_of_year,day_of_year,day_of_month,month_1,month_2,month_3,month_4,month_5,month_12,week_0,week_1,week_2,week_3,week_4,quarter_1,quarter_2,quarter_4,is_hd_False,is_hd_True,rokuyo_仏滅,rokuyo_先勝,rokuyo_先負,rokuyo_友引,rokuyo_大安,rokuyo_赤口,cumsum,No_O_rolling_mean_3,No_O_rolling_sum_3,No_O_pct_change_3,No_O_diff_3,No_O_acf_3,No_O_ewm_3,No_O_arima_params_3,No_O_matrix_profile_3,No_O_acf_3,No_O_rolling_mean_4,No_O_rolling_sum_4,No_O_pct_change_4,No_O_diff_4,No_O_acf_4,No_O_ewm_4,No_O_arima_params_4,No_O_matrix_profile_4,No_O_acf_4
6363.0,2023-12-14,1.0,0.0,N1_0,6.0,2023.0,14.0,50.0,348.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,,,1.0,,,,,1.0,0.0,,,1.0
6364.0,2023-12-15,8.0,0.0,N1_0,7.0,2023.0,15.0,50.0,349.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0016943521594684299,0.0,,,0.0016943521594684299,,,,,0.0016943521594684299,0.0,,,0.0016943521594684299
6365.0,2023-12-18,9.0,0.0,N1_0,1.0,2023.0,18.0,51.0,352.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,6.644518272425404e-05,0.0,,0.0,6.644518272425404e-05,,,,,6.644518272425404e-05,0.0,,,6.644518272425404e-05
6366.0,2023-12-19,8.0,0.0,N1_0,2.0,2023.0,19.0,51.0,353.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.08461794019933555,0.0,,0.0,-0.08461794019933555,0.0,0.0,,,-0.08461794019933555,0.0,,0.0,-0.08461794019933555
6367.0,2023-12-20,6.0,0.0,N1_0,3.0,2023.0,20.0,51.0,354.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,-0.08624584717607968,0.0,,0.0,-0.08624584717607968
6368.0,2023-12-21,2.0,0.0,N1_0,4.0,2023.0,21.0,51.0,355.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
6369.0,2023-12-22,2.0,0.0,N1_0,5.0,2023.0,22.0,51.0,356.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
6370.0,2023-12-25,9.0,0.0,N1_0,8.0,2023.0,25.0,52.0,359.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
6371.0,2023-12-26,2.0,0.0,N1_0,9.0,2023.0,26.0,52.0,360.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
6372.0,2023-12-27,0.0,1.0,N1_0,1.0,2023.0,27.0,52.0,361.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,inf,1.0,,0.5004887585532747,,0.0,,0.25,1.0,inf,1.0,,0.4024333606412808,,0.0,
6373.0,2023-12-28,8.0,0.0,N1_0,2.0,2023.0,28.0,52.0,362.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,,0.0,,0.2501221299462628,,0.0,,0.25,1.0,,0.0,,0.24087388335749393,,0.0,
6374.0,2023-12-29,0.0,1.0,N1_0,3.0,2023.0,29.0,52.0,363.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.6666666666666666,2.0,inf,1.0,,0.6251526251526252,,0.0,,0.5,2.0,inf,1.0,,0.5451867528935199,,0.0,
6375.0,2024-01-04,7.0,0.0,N1_0,4.0,2024.0,4.0,1.0,4.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.3333333333333333,1.0,-1.0,-1.0,,0.3125381516298376,,0.0,,0.5,2.0,,0.0,,0.3268268585595858,,1.838803373523932,
6376.0,2024-01-05,5.0,0.0,N1_0,5.0,2024.0,5.0,1.0,5.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,1.0,,0.0,,0.1562595373252762,,0.0,,0.25,1.0,-1.0,-1.0,,0.19599358873749592,,0.0,
6377.0,2024-01-08,4.0,0.0,N1_0,8.0,2024.0,8.0,2.0,8.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,-1.0,,0.07812738425855281,,0.0,,0.25,1.0,,0.0,,0.11755927460571727,,0.0,
6378.0,2024-01-09,1.0,0.0,N1_0,9.0,2024.0,9.0,2.0,9.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,,0.0,,0.03906309605554284,,0.0,,0.0,0.0,-1.0,-1.0,,0.07052229511454443,,0.0,
6379.0,2024-01-10,7.0,0.0,N1_0,1.0,2024.0,10.0,2.0,10.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,0.0,,0.019531399012748817,,0.0,,0.0,0.0,,0.0,,0.04230860143288038,,0.0,
6380.0,2024-01-11,9.0,0.0,N1_0,2.0,2024.0,11.0,2.0,11.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.009765662253045093,,0.0,,0.0,0.0,,0.0,,0.02538344194126365,,0.0,
6381.0,2024-01-12,0.0,1.0,N1_0,3.0,2024.0,12.0,2.0,12.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.3333333333333333,1.0,inf,1.0,,0.5048837754893789,,0.0,,0.25,1.0,inf,1.0,,0.4152538222961193,,0.0,
6382.0,2024-01-15,0.0,1.0,N1_0,6.0,2024.0,15.0,3.0,15.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.6666666666666666,2.0,inf,1.0,,0.7524421238347281,,0.0,,0.5,2.0,inf,1.0,,0.6491608453890384,,1.838803373523932,
